image_id,artwork_id,artist,width,height,aspect_ratio,colorfulness,HR,FAR,CR,RESMEM
52764c48-9195-66d3-4b13-388f5357933f,102229,Richard Estes,3000,2231,1.344688480502017,15.3978,0.875,0.0,0.875,0.581322312355041
62ea5580-3ca9-67e2-25be-b3758eff9fe8,36809,Reginald Marsh,4069,2870,1.4177700348432056,21.8812,0.925,0.05,0.875,0.84252780675888
6a0619fd-82b2-d4ff-ba34-6a46716b738f,65857,Charles Demuth,3545,4513,0.7855085309107024,24.3828,0.95,0.075,0.875,0.764329850673675
7e0deb1d-e53f-2343-ef65-4578b2851405,154125,Luc Tuymans,4890,5846,0.8364693807731782,5.0959,0.9,0.025,0.875,0.925513386726379
7fe66053-06cf-e765-27c3-fdff1b402acf,104273,Ivan Albright,4643,5474,0.8481914504932407,10.8041,0.9,0.025,0.875,0.87215232849121
8a23cba5-3f1b-0e38-3e28-d0c500e5cf30,109443,Alexander Calder,4958,3427,1.4467464254449955,91.4481,0.925,0.05,0.875,0.863400876522064
b0d327fb-80ba-44cc-6864-79aa6fd4566c,187038,Francis AlÃ¿s,3000,1333,2.250562640660165,54.774,0.925,0.05,0.875,0.884101152420044
b2023ca4-d773-a394-31a5-f94d0fef0961,40616,Eugene Speicher,6685,7810,0.8559539052496798,17.811,0.95,0.075,0.875,0.909579217433929
b85c78f9-aea3-e406-7131-7e07985a9756,229377,Eric Fischl,2903,2250,1.2902222222222222,11.9488,0.875,0.0,0.875,0.66595184803009
bea9bcba-8871-5793-0943-a64018f495fc,196082,Akira Kanayama,1611,2250,0.716,60.0325,0.875,0.0,0.875,0.902794539928436
c8bfb4db-961f-72bb-53ba-4406e5b4f77d,190811,Jim Nutt,2134,2250,0.9484444444444444,68.5428,0.95,0.075,0.875,0.793849766254425
d9bb0bad-95f2-5ec2-d667-fdab7cd81898,148415,Richard Hamilton,2884,2250,1.2817777777777777,27.9468,0.9,0.025,0.875,0.92894423007965
efcca127-2510-adce-9c80-ac933c37e1cd,102582,Georges Vantongerloo,1654,2250,0.7351111111111112,19.1344,0.925,0.05,0.875,0.781557977199554
6b2e856f-01c4-1f23-4ded-79c2398c2c6b,21679,French School,4515,5722,0.7890597693114295,23.0499,0.925,0.05,0.875,0.799169421195983
71c6e610-050b-8838-fa81-df6782d6962c,115508,Giuseppe Grisoni,2136,3000,0.712,10.7038,0.925,0.05,0.875,0.921160995960235
a3bfd218-9b88-f59b-5ade-f39b45f3ec4f,198905,Pieter Gerritsz. van Roestraeten,4991,4242,1.1765676567656767,11.3462,0.9,0.025,0.875,0.544332265853881
d763c113-194b-62a5-3e39-e2b479c5df47,105600,Thomas Gainsborough,6506,8181,0.7952573035081286,12.1179,0.975,0.1,0.875,0.802674174308776
de5574eb-11af-16de-123b-d4d44cea94e9,184372,Albert Schindler,1801,2250,0.8004444444444444,33.2213,0.9,0.025,0.875,0.815660774707794
df7155be-b189-9ef6-b86e-c2eb140e1e1d,16772,Winslow Homer,3000,1831,1.6384489350081923,19.7182,0.9,0.025,0.875,0.614163339138031
efbc8786-6890-1993-df69-237507461334,,Pierre Puvis de Chavannes,4762,3833,1.2423689016436212,20.0583,0.95,0.075,0.875,0.841957628726959
fc71787a-5e0a-df48-3f5d-a161e0cb9dc7,228852,Raimer Jochims,4581,3054,1.5,18.1106,0.905,0.048,0.857,0.903639435768127
fe1ce641-f5f4-c4f6-9229-4958126dd25e,27966,Ferdinand Hodler,2072,2250,0.9208888888888889,45.889,0.881,0.024,0.857,0.820253908634185
11ce6260-9111-6e40-edd2-c8ca93892470,39069,John Leech,2874,3000,0.958,26.9841,0.905,0.048,0.857,0.711314439773559
41728a11-a073-6efa-387c-a40384477ad2,25832,Pierre-Auguste Renoir,1860,2250,0.8266666666666667,42.4707,0.881,0.024,0.857,0.780138790607452
565dd29f-6c02-3f31-3db2-46902059f047,883,Pierre Andrieu,3000,1791,1.6750418760469012,32.5721,0.952,0.095,0.857,0.721419870853424
deed30c9-ebb0-c8f8-aeaa-72e31e2db34f,25976,Georges Rouault,2336,3504,0.6666666666666666,18.2431,0.927,0.073,0.8540000000000001,0.745277523994445
56909e17-e34d-9c18-d0b9-2a08ceff911c,110559,Dutch School,2124,2516,0.8441971383147854,8.1236,0.927,0.073,0.8540000000000001,0.891984939575195
fd1a9c27-d95b-d8e7-209c-5492d9eb6e92,16261,Gerard David,2598,2250,1.1546666666666667,40.8076,0.927,0.073,0.8540000000000001,0.794200718402862
8c9742df-392c-d50a-1f36-416d29716669,144355,Susanna Coffey,6088,7664,0.7943632567849687,24.4379,0.854,0.0,0.854,0.927625894546508
9f80e6de-296b-1d35-3e97-2a01998b9b63,223332,Desmond Lazaro,4661,4672,0.9976455479452054,23.7037,0.902,0.048,0.854,0.854823172092437
ab4cb1d2-0f93-c554-39cf-b40cdc461ef9,146918,Edward Joseph Ruscha,3000,1716,1.7482517482517483,11.3743,0.878,0.024,0.854,0.638327479362487
c9036684-3440-d6ff-55bc-8e2cf9faa5a8,223333,Robert Indiana,2777,3327,0.8346859032161106,92.5834,0.878,0.024,0.854,0.847138941287994
708195fa-7dbd-f794-1cc2-12ee696850a7,244905,Faith Ringgold,5556,5564,0.9985621854780733,41.6426,0.902,0.049,0.853,0.748116374015808
829a43aa-8f40-ac23-d529-5a6933de2e7f,233337,SaitÅ Yoshishige,1781,2250,0.7915555555555556,2.4177,0.902,0.049,0.853,0.920432567596435
bad869a4-5190-7b18-ed6d-9456fdc5a07c,90837,Mark Adams,3000,2373,1.2642225031605563,51.8717,0.902,0.049,0.853,0.868286609649658
1a087ef7-8455-e5d0-0b2b-9738cd33058c,95183,edouard Manet,7941,13533,0.5867878519175349,16.2443,0.902,0.049,0.853,0.756266117095947
1f99a0f0-a2f2-c551-75ef-be7f7c23b046,8528,Robert Matthew Sully,1851,2250,0.8226666666666667,22.9914,0.902,0.049,0.853,0.821636736392974
ba6ef7ee-677c-0bcd-8150-ef7487f17a36,181460,Ferdinand Hodler,2662,5126,0.51931330472103,24.3702,0.902,0.049,0.853,0.906504929065704
f9e67d31-29df-884a-9af7-2b1af54c01fe,115502,Giuseppe Grisoni,3000,2581,1.162340178225494,13.8632,0.9,0.049,0.851,0.895530879497528
5e8ff889-2138-0a5c-267e-c938169285cd,93802,Ivan Albright,4355,6098,0.7141685798622499,21.7268,0.925,0.075,0.8500000000000001,0.902194499969482
bf7ce773-7b00-0a31-a7b2-96f09142c701,146968,Chuck Close,1697,2250,0.7542222222222222,15.0481,0.925,0.075,0.8500000000000001,0.877343893051147
1de73bb7-52d6-e099-f4e1-763e201e78fa,38666,Winslow Homer,10659,7423,1.4359423413714132,39.0601,0.925,0.075,0.8500000000000001,0.881498336791992
3c53f19b-d17e-a081-9a59-93dfc1736a93,113244,John Leech,1601,1739,0.9206440483036228,27.5878,0.925,0.075,0.8500000000000001,0.80225121974945
ffba2da9-51b1-9641-c95a-ab537717efbe,,Paul Cezanne,11038,9255,1.1926526202052945,44.5836,0.925,0.075,0.8500000000000001,0.701105654239654
1630e6a7-697e-3deb-cb9e-62b1f1239791,41483,Diego Rivera,1790,2250,0.7955555555555556,59.6058,0.85,0.0,0.85,0.867572486400604
276252ca-b499-5539-ea43-a7e58c8ea973,200640,Gertrude Abercrombie,3869,4995,0.7745745745745746,28.6225,0.85,0.0,0.85,0.809704065322876
2fc6cbcb-3c5f-c1c3-47c2-d0ccb9914058,229368,Gerhard Richter,3000,2171,1.381851681252879,18.1483,0.9,0.05,0.85,0.630009591579437
36b03bc2-9a98-b582-f695-98e14fd118bb,,Harry Leslie Hoffman,3000,2194,1.3673655423883317,20.468,0.875,0.025,0.85,0.666219592094421
3813196d-fda9-885a-942f-d19cb113e6e9,66416,Richard Aberle Florsheim,1570,3456,0.4542824074074074,18.9183,0.85,0.0,0.85,0.861700057983398
3c8a4360-27d8-bba2-a434-8b04dbe3f829,34149,Ed Paschke,3000,2208,1.358695652173913,60.9026,0.9,0.05,0.85,0.773725569248199
5bafce3a-5d1a-1592-373d-a455850bae34,129685,Carlos Merida,2404,3000,0.8013333333333333,29.1099,0.9,0.05,0.85,0.837209165096283
5bc13eb5-3406-9b7e-db22-360d8dbb8428,48506,Wayne Thiebaud,5066,5055,1.0021760633036598,57.4402,0.9,0.05,0.85,0.943479061126709
6359d354-d48c-8824-938b-b66f678001ac,107070,Rick Grafton,2146,3000,0.7153333333333334,11.278,0.9,0.05,0.85,0.809955060482025
69c8a441-6f10-d996-4c94-af28c63cd586,73347,James Daniel Torlakson,2266,3108,0.7290862290862291,30.0202,0.9,0.05,0.85,0.764128446578979
6bec08f2-cb32-6bd4-54f0-6ac8cb68c218,235710,Remy Zaugg,2703,2250,1.2013333333333334,128.8709,0.975,0.125,0.85,0.85881632566452
82087976-fbb8-4315-3070-1aa7660ceb39,229378,John Currin,3000,2023,1.4829461196243203,46.9129,0.875,0.025,0.85,0.850475847721099
